"","MODZCTA","Neighborhood","Borough","COVID_CASE_COUNT","COVID_CASE_RATE","POP_DENOMINATOR","COVID_DEATH_COUNT","COVID_DEATH_RATE","PERCENT_POSITIVE","TOTAL_COVID_TESTS","ZCTA","COVID_TEST_COUNT","COVID_TEST_RATE","total_population","percent_female","percent_unemployed","median_income","poverty_rate","percent_uninsured","percent_public_health_insurance","percent_private_health_insurance","home_ownership","renter_occupied","single_mom","single_dad","home_median_value","high_school_completion","college_graduates","percent_with_Internet","percent_white","median_age","percent_black","percent_hispanic_latino","percent_receiving_public_assistance","percent_in_mgmt_art_sci","percent_spending_35_percent_rent","median_rent","percent_asian","percent_non_citizens","percent_with_disability","crowding"
"1","10001","Chelsea/NoMad/West Chelsea","Manhattan",382,1621.18,23563.03,22,93.37,11.17,3420,"10001",3420,14514.2623847612,22924,49.1,4.5,88526,10.6,4.3,25.4,79,26.2,73.8,1.7,1,343400,91.8,68,88.3,62.9,36.7,6.2,14.2,3.1,64.6,35.9,2065,25.2,47.6,8.2,3.09999999999999
"2","10002","Chinatown/Lower East Side","Manhattan",1083,1410.98,76755.41,151,196.73,15.59,6947,"10002",6947,9050.82781786978,74993,51.7,7,35859,24.9,5.9,53.1,46.8,13.3,86.7,5.6,1.3,665200,66,34,56,32.2,43.6,8.4,27.2,6.3,44.5,40.1,963,41.5,39.5,15.2,8.3
"3","10003","East Village/Gramercy/Greenwich Village","Manhattan",464,862.43,53801.62,33,61.34,8.61,5391,"10003",5389,10016.4270146512,54682,49.7,5.7,112131,3.1,3.9,17.3,86,32.9,67.1,1.5,0.4,1001200,96.1,80.2,86.9,75.9,32.3,5.8,8.2,0.5,71.2,34.1,2298,13.5,62.5,6.9,3.5
"4","10004","Financial District","Manhattan",32,876.57,3650.61,1,27.39,8.99,356,"10004",356,9751.79490550894,3028,58.2,4.5,157645,1,4.9,7.7,91.6,38.3,61.7,2.5,0.5,1640600,98.9,90.4,98.6,62.8,37.1,1.7,3.7,0,76.2,28.5,3235,30.4,67.7,5.2,3.90000000000001
"5","10005","Financial District","Manhattan",65,774.17,8396.11,2,23.82,8.21,792,"10005",792,9432.93977806389,8831,54.7,3.1,173333,0.4,2.7,5.5,94.4,19.6,80.4,2.8,1,1415400,99.2,88.4,98.8,73.4,30.1,2.5,6.9,0.2,71.3,26.2,3226,17,62.7,1.6,13.3
"6","10006","Financial District","Manhattan",27,780.85,3457.77,0,0,7.56,357,"10006",357,10324.5733521894,3454,52.7,0.6,176250,2.7,2.1,1.2,97.6,17.1,82.9,1.7,0.8,1140400,99.4,92.8,92.6,69.8,31.8,1,12,0,79,26.1,3229,19.9,48.9,0,10.9
"7","10007","TriBeCa","Manhattan",62,751.54,8249.73,3,36.36,7.16,866,"10007",866,10497.3132454032,7023,41.4,2.8,246813,0.8,0.7,8.4,93.9,35.4,64.6,0.8,0.6,2000001,92.6,80,97.3,77.2,36,4.7,8.3,0.4,73.4,20.5,3394,11.8,57.6,1.9,6.3
"8","10009","Alphabet City/East Village/Stuyvesant Town-Cooper Village","Manhattan",715,1217.06,58747.99,67,114.05,10.98,6509,"10009",6512,11084.6345551567,57925,54.2,4,61548,19.3,5.6,35.7,65.9,6.3,93.7,5,0.8,608300,88.2,59.5,67.6,61.8,37.1,9.4,24.8,4.1,62.3,35.4,1642,13,47.6,12.5,4.40000000000001
"9","10010","Flatiron/Gramercy/Kips Bay","Manhattan",273,843.33,32371.86,20,61.78,7.11,3840,"10010",3840,11862.1543525766,33730,48.5,4,117923,7.8,3.6,20.7,84.5,28.4,71.6,0.7,0.6,788200,96.1,78.4,88.2,73.2,34.7,5.3,11,2.4,72.4,34.1,2590,17.4,51.8,7,3.40000000000001
"10","10011","Chelsea","Manhattan",532,1074.74,49500.52,37,74.75,9.52,5591,"10011",5588,11288.7702997868,50472,48.4,3.7,128613,5.3,3.7,24.5,82.9,37.6,62.4,2.2,0.8,964200,95.6,78.8,91.2,79.9,40.6,5.6,11.3,2,71.7,30.9,2115,9.2,53.4,8.9,4.40000000000001
"11","10012","Greenwich Village/SoHo","Manhattan",166,692.21,23981.2,9,37.53,7.83,2119,"10012",2120,8840.25820225844,23411,50.5,3.4,109037,5.2,5.1,17.8,84.3,18,82,1.8,1.1,1669400,94.9,80.5,87.6,74.4,33.9,2.8,6.4,0.5,73,32.9,2280,17.3,56.8,5.9,7.90000000000001
"12","10013","Hudson Square/Little Italy/SoHo/TriBeCa","Manhattan",271,933.48,29031.09,21,72.34,8.73,3106,"10013",3104,10691.9857297814,28709,51.1,3.5,105442,10,5.1,28.4,71.4,26.2,73.8,3,0.8,2000001,79,61.6,79.1,55.6,38,4.4,6,1.7,60,37.9,1571,33.3,45.8,8.3,9.8
"13","10014","Hudson Square/Meatpacking District/West Village","Manhattan",313,1008.27,31043.16,24,77.31,8.67,3611,"10014",3610,11628.9707619972,30738,49.5,5.2,126601,3.9,3.5,20,84.8,32.4,67.6,1.2,0.4,1089100,98.9,84.5,93.3,88.9,38.3,1.1,6.7,1,74.8,33.4,2313,5.7,61.5,6.9,2.09999999999999
"14","10016","Kips Bay/Murray Hill/NoMad","Manhattan",728,1386.02,52524.35,49,93.29,10.63,6851,"10016",6849,13039.6663642672,51057,52.7,3.7,117004,3.9,3.5,18,86.8,28.8,71.2,1,0.2,775800,96.1,80.5,89.2,71.9,33.5,3.8,6.9,1.1,74.2,36.2,2550,19.3,48.6,7.2,3.7
"15","10017","East Midtown/Murray Hill","Manhattan",146,905.3,16127.22,6,37.2,8.34,1750,"10017",1751,10857.4199397044,15801,54.9,2.9,127506,2.3,3.9,26.1,85.7,43.6,56.4,1.7,0.5,637300,96.9,82.4,92.3,73.9,39.7,2.3,5.9,0.5,74.4,34.1,2309,21.2,47.6,6.9,5.09999999999999
"16","10018","Hell's Kitchen/Midtown Manhattan","Manhattan",214,2245.2,9531.44,3,31.47,11.47,1866,"10018",1866,19577.314655498,9687,46.9,3.7,108914,4.3,6,15.1,83.8,9.1,90.9,2.1,0.1,743600,91.2,69,92.6,59.8,32.8,4.8,15.2,2.2,64,36.5,3163,29.9,58.2,6.6,6.59999999999999
"17","10019","Hell's Kitchen/Midtown Manhattan","Manhattan",624,1535.76,40631.45,44,108.29,11.03,5658,"10019",5657,13922.7125785568,43703,48.7,5.3,98833,6.4,4.5,25.5,78.9,19.9,80.1,1.8,0.9,917700,95.4,72.4,87.1,67.9,39.5,5.8,16.8,2.4,70.7,33.4,2139,17.4,51.5,9.4,5.40000000000001
"18","10021","Lenox Hill/Upper East Side","Manhattan",576,1303.89,44175.61,64,144.88,10.25,5621,"10021",5620,12721.9522265793,46215,54.5,2.1,118289,1.7,4.1,24.4,82.7,45,55,0.9,0.9,1238500,99,80.7,92.8,82.3,41,0.9,7.9,0.8,70.8,32.4,2149,9.4,49.8,8.4,3.2
"19","10022","East Midtown","Manhattan",348,1147.2,30334.8,29,95.6,9.16,3801,"10022",3799,12523.5702889091,31125,54.7,2.5,135363,1.1,1.4,28.3,85.6,52.4,47.6,0.9,0.4,928400,98.1,82.9,91.8,83.6,47.5,1.4,5.4,0.3,74.7,34.8,2514,12.2,42,8.3,2
"20","10023","Lincoln Square","Manhattan",575,953.96,60274.81,52,86.27,8.57,6712,"10023",6709,11130.6862684428,62435,56.5,4.5,130452,5.2,2.9,26.7,85.5,41.8,58.2,2,0.5,1124500,97.3,81.1,90.8,79.8,43.3,4.2,10.5,0.8,72.5,28.2,2321,10.6,52.6,9,3.2
"21","10024","Upper West Side","Manhattan",732,1276.65,57337.68,68,118.6,10.28,7124,"10024",7121,12419.407272844,59001,54.9,2.6,131668,3.4,3.7,23.8,84.6,39.5,60.5,2.5,0.3,1540500,95.5,80.7,90.5,83.1,43.1,3.9,10.9,0.8,75.3,29.2,2174,7.2,48.5,8.4,2.3
"22","10025","Manhattan Valley/Morningside Heights/Upper West Side","Manhattan",1400,1516.24,92333.47,169,183.03,11.29,12402,"10025",12400,13429.5830103645,92805,54.9,6.7,85930,9.8,4.4,32.4,76.9,28.7,71.3,4.3,0.4,1021400,90,66.7,84.1,64.6,41.3,12.6,23.4,2.5,67.1,38.4,1531,8.9,49.5,11.2,3.59999999999999
"23","10026","Central Harlem (South)","Manhattan",653,1673.59,39018.03,41,105.08,15.89,4109,"10026",4110,10533.591777955,39363,54,7,58884,22.7,5.9,42.6,56.4,15.2,84.8,9.4,2.2,835000,82.4,44.4,79,26.4,35.1,53.4,21.3,3.5,51.4,34.9,1163,5.9,47.6,10.3,4.40000000000001
"24","10027","Central Harlem (South)/Morningside Heights/West Harlem","Manhattan",1061,1667.43,63631.04,105,165.01,16.37,6483,"10027",6481,10185.2806429064,64548,53.8,5.6,46113,23.1,7.3,37.3,60.4,13.6,86.4,10.3,1.7,689200,84.7,47.9,75,30.5,31,39.5,25.4,4.1,52.9,43.5,1193,9.5,59,9.6,5.40000000000001
"25","10028","Upper East Side/Yorkville","Manhattan",477,970.4,49155.08,30,61.03,9.29,5133,"10028",5135,10446.5296364079,47793,57.1,2.6,125140,1.1,3.1,21,87.5,34.5,65.5,1,0,1218300,98.1,83.2,93.7,86.2,38.9,1.3,7.4,0.7,73.5,29.9,2329,9.6,53.1,6.1,3.8
"26","10029","East Harlem","Manhattan",1851,2347.75,78841.52,201,254.94,19.2,9643,"10029",9641,12228.3284239066,79597,54.3,10.8,34016,29.7,7.5,55.4,46,6.8,93.2,11.9,1.8,693200,74.3,31.7,73.6,33.8,35.1,31,47.9,6.9,40.8,38.9,923,9.5,51.2,15.4,7.7
"27","10030","Central Harlem (North)","Manhattan",512,1746.13,29321.91,52,177.34,17.45,2934,"10030",2934,10006.1694480339,29882,55.7,12.4,37232,23.3,8.3,49.3,48.6,11.5,88.5,11.4,1.7,606500,77.8,30.3,75.3,16.9,36.1,63.1,25.6,6.1,34.9,41.1,988,2.1,50.5,15.1,7.8
